Nome,Solucao_Referencia,Solucao_Obtida,Diferenca
BHW1,337.0,609.0,272.0
BHW2,470.0,747.0,277.0
BHW3,415.0,652.0,237.0
BHW4,240.0,357.0,117.0
CBMix1,2569.0,4288.0,1719.0
CBMix2,11658.0,18905.0,7247.0
CBMix3,3614.0,6428.0,2814.0
CBMix4,7475.0,11733.0,4258.0
DI-NEARP-n240-Q16k,14717.0,23461.0,8744.0
DI-NEARP-n240-Q2k,23894.0,32206.0,8312.0
DI-NEARP-n240-Q4k,18184.0,27498.0,9314.0
DI-NEARP-n240-Q8k,15897.0,24632.0,8735.0
mggdb_0.25_1,280.0,466.0,186.0
mggdb_0.25_2,349.0,527.0,178.0
mggdb_0.25_3,278.0,455.0,177.0
mggdb_0.25_4,289.0,471.0,182.0
mgval_0.25_1A,177.0,416.0,239.0
mgval_0.25_1B,217.0,419.0,202.0
mgval_0.25_1C,283.0,535.0,252.0
mgval_0.25_2A,259.0,512.0,253.0
